123.100061 seconds (2.32 G allocations: 148.698 GiB, 82.06% gc time, 3.98% compilation time: 1% of which was recompilation)
 37.090812 seconds (696.71 M allocations: 44.826 GiB, 86.52% gc time, 1.03% compilation time)
Time elapsed: 162.790911129 s
[1.010006116008997, -0.505, -1.01] 0.006043256580519483
[1.009993883991003, -0.505, -1.01] 0.006043264227442901
[1.01, -0.5049939445455476, -1.01] 0.006043244329870427
[1.01, -0.5050060554544524, -1.01] 0.006043276481382681
[1.01, -0.505, -1.009993883991003] 0.006043252591939487
[1.01, -0.505, -1.010006116008997] 0.006043268216895998
[1.010006116008997, -0.505, -1.01] 0.006043256580519483
[1.009993883991003, -0.505, -1.01] 0.006043264227442901
[1.01, -0.5049939445455476, -1.01] 0.006043244329870427
[1.01, -0.5050060554544524, -1.01] 0.006043276481382681
[1.01, -0.505, -1.009993883991003] 0.006043252591939487
[1.01, -0.505, -1.010006116008997] 0.006043268216895998
[1.01, -0.505, -1.01] 0.0060432604121215
[1.010006116008997, -0.505, -1.01] 0.006043256580519483
[1.009993883991003, -0.505, -1.01] 0.006043264227442901
[1.01, -0.5049939445455476, -1.01] 0.006043244329870427
[1.01, -0.5050060554544524, -1.01] 0.006043276481382681
[1.01, -0.505, -1.009993883991003] 0.006043252591939487
[1.01, -0.505, -1.010006116008997] 0.006043268216895998
[1.01, -0.505, -1.01] 0.0060432604121215
[1.010006116008997, -0.505, -1.01] 0.006043256580519483
[1.009993883991003, -0.505, -1.01] 0.006043264227442901
[1.01, -0.5049939445455476, -1.01] 0.006043244329870427
[1.01, -0.5050060554544524, -1.01] 0.006043276481382681
[1.01, -0.505, -1.009993883991003] 0.006043252591939487
[1.01, -0.505, -1.010006116008997] 0.006043268216895998
[1.01, -0.505, -1.01] 0.0060432604121215
[1.5400093253998568, -0.505, -1.01] 0.005469192758118074
[1.5399906746001433, -0.505, -1.01] 0.005469193066771988
[1.54, -0.5049939445455476, -1.01] 0.0054691709310605635
[1.54, -0.5050060554544524, -1.01] 0.005469214895655931
[1.54, -0.505, -1.009993883991003] 0.005469177769252036
[1.54, -0.505, -1.010006116008997] 0.0054692080600338595
[1.54, -0.505, -1.01] 0.005469192908763027
[1.010006116008997, -0.7325, -1.01] 0.006898955738099937
[1.009993883991003, -0.7325, -1.01] 0.006898965234482839
[1.01, -0.7324939445455476, -1.01] 0.0068989426626902715
[1.01, -0.7325060554544525, -1.01] 0.006898978309004395
[1.01, -0.7325, -1.009993883991003] 0.006898957269989381
[1.01, -0.7325, -1.010006116008997] 0.006898963699612751
[1.01, -0.7325, -1.01] 0.00689896048834249
[1.010006116008997, -0.505, -1.4900000000000002] 0.006921777545152221
[1.009993883991003, -0.505, -1.4900000000000002] 0.006921758593680599
[1.01, -0.5049939445455476, -1.4900000000000002] 0.006921757587296815
[1.01, -0.5050060554544524, -1.4900000000000002] 0.006921778555748335
[1.01, -0.505, -1.4899909773728661] 0.006921761481899909
[1.01, -0.505, -1.4900090226271343] 0.0069217746911299
[1.01, -0.505, -1.4900000000000002] 0.006921768064783225
[1.3633415889362366, -0.6566666666666666, -0.5299999999999998] 0.005633709744247382
[1.3633250777304295, -0.6566666666666666, -0.5299999999999998] 0.005633718380744358
[1.363333333333333, -0.6566606112122142, -0.5299999999999998] 0.005633687112145998
[1.363333333333333, -0.656672722121119, -0.5299999999999998] 0.005633741013507973
[1.363333333333333, -0.6566666666666666, -0.5299939445455474] 0.00563370478308249
[1.363333333333333, -0.6566666666666666, -0.5300060554544522] 0.0056337233426962
[1.363333333333333, -0.6566666666666666, -0.5299999999999998] 0.0056337140633319575
[1.5988985708877297, -0.3786111111111109, -0.6899999999999997] 0.005003229207956826
[1.5988792068900475, -0.3786111111111109, -0.6899999999999997] 0.005003222308875243
[1.5988888888888886, -0.37860505565665853, -0.6899999999999997] 0.005003193151598356
[1.5988888888888886, -0.37861716656556327, -0.6899999999999997] 0.005003258367951243
[1.5988888888888886, -0.3786111111111109, -0.6899939445455473] 0.005003216694356763
[1.5988888888888886, -0.3786111111111109, -0.6900060554544521] 0.005003234815716877
[1.5988888888888886, -0.3786111111111109, -0.6899999999999997] 0.005003225749412309
